alto	alti	alta	alte
attento	attenti	attenta	attente
bello	belli	bella	belle
bianco	bianchi	bianca	bianche
biondo	biondi	bionda	bionde
blu	blu	blu	blu
bravo	bravi	brava	brave
buono	buoni	buona	buone
caldo	caldi	calda	calde
caro	cari	cara	care
castano	castani	castana	castane
corto	corti	corta	corte
difficile	difficili	difficile	difficili
doppio	doppi	doppia	doppie
facile	facili	facile	facili
falso	falsi	falsa	false
felice	felici	felice	felici
freddo	freddi	fredda	fredde
gentile	gentili	gentile	gentili
giallo	gialli	gialla	gialle
giovane	giovani	giovane	giovani
grande	grandi	grande	grandi
importante	importanti	importante	importanti
intelligente	intelligenti	intelligente	intelligenti
interessante	interessanti	interessante	interessanti
internazionale	internazionali	internazionale	internazionali
largo	larghi	larga	larghe
lungo	lunghi	lunga	lunghe
magro	magri	magra	magre
malato	malati	malata	malate
mezzo	mezzi	mezza	mezze
mio	miei	mia	mie
molto	molti	molta	molte
nero	neri	nera	nere
nuovo	nuovi	nuova	nuove
piccolo	piccoli	piccola	piccole
poco	pochi	poca	poche
quanto	quanti	quanta	quante
quello	quelli	quella	quelle
questo	questi	questa	queste
ricco	ricchi	ricca	ricche
rosso	rossi	rossa	rosse
simpatico	simpatici	simpatica	simpatiche
singolo	singoli	singola	singole
sporco	sporchi	sporca	sporche
stanco	stanchi	stanca	stanche
straniero	stranieri	straniera	straniere
stretto	stretti	stretta	strette
tanto	tanti	tanta	tante
triste	tristi	triste	tristi
troppo	troppi	troppa	troppe
tuo	tuoi	tua	tue
tutto	tutti	tutta	tutte
vecchio	vecchi	vecchia	vecchie
verde	verdi	verde	verdi
vero	veri	vera	vere
