abbondante	abbondanti	abbondante	abbondanti
abile	abili	abile	abili
adatto	adatti	adatta	adatte
altrettanto	altrettanti	altrettanta	altrettante
ampio	ampi,ampli	ampia	ampie
artificiale	artificiali	artificiale	artificiali
assente	assenti	assente	assenti
assurdo	assurdi	assurda	assurde
autentico	autentici	autentica	autentiche
beato	beati	beata	beate
celibe	celibi	celibe	celibi
certo	certi	certa	certe
cieco	ciechi	cieca	cieche
colpevole	colpevoli	colpevole	colpevoli
complesso	complessi	complessa	complesse
disabile	disabili	disabile	disabili
disgustoso	disgustosi	disgustosa	disgustose
enorme	enormi	enorme	enormi
esatto	esatti	esatta	esatte
esterno	esterni	esterna	esterne
evidente	evidenti	evidente	evidenti
feriale	feriali	feriale	feriali
festivo	festivi	festiva	festive
figo	fighi	figa	fighe
finto	finti	finta	finte
fragile	fragili	fragile	fragili
ganzo	ganzi	ganza	ganze
grave	gravi	grave	gravi
ideale	ideali	ideale	ideali
impensabile	impensabili	impensabile	impensabili
indispensabile	indispensabili	indispensabile	indispensabili
inferiore	inferiori	inferiore	inferiori
innocente	innocenti	innocente	innocenti
interno	interni	interna	interne
invisibile	invisibili	invisibile	invisibili
lavorativo	lavorativi	lavorativa	lavorative
logico	logici	logica	logiche
lordo	lordi	lorda	lorde
matto	matti	matta	matte
militare	militari	militare	militari
minuscolo	minuscoli	minuscola	minuscole
morbido	morbidi	morbida	morbide
muto	muti	muta	mute
nemico	nemici	nemica	nemiche
netto	netti	netta	nette
/	/	nubile	nubili
opportuno	opportuni	opportuna	opportune
orizzontale	orizzontali	orizzontale	orizzontali
ovvio	ovvi	ovvia	ovvie
parecchio	parecchi	parecchia	parecchie
pazzesco	pazzeschi	pazzesca	pazzesche
pericoloso	pericolosi	pericolosa	pericolose
personale	personali	personale	personali
politico	politici	politica	politiche
porco	porci	porca	porche
presente	presenti	presente	presenti
privato	privati	privata	private
proprio	propri	propria	proprie
pubblico	pubblici	pubblica	pubbliche
puro	puri	pura	pure
qualunque	/	qualunque	/
