abilità	Feminin	abilità
abitazione	Feminin	abitazioni
abitudine	Feminin	abitudini
addetta	Feminin	addette
addetto	Maskulin	addetti
adolescente	Maskulin,Feminin	adolescenti
affare	Maskulin	affari
affermazione	Feminin	affermazioni
agio	Maskulin	agi
agricoltura	Feminin	agricolture
agriturismo	Maskulin	agriturismi
alimentazione	Feminin	alimentazioni
allarme	Maskulin	allarmi
ambiente	Maskulin	ambienti
amministratore	Maskulin	amministratori
amministratrice	Feminin	amministratrici
argomento	Maskulin	argomenti
arma	Feminin	armi
armonia	Feminin	armonie
artigianato	Maskulin	artigianati
asma	Feminin	asme
aspetto	Maskulin	aspetti
assassina	Feminin	assassine
assassino	Maskulin	assassini
assenza	Feminin	assenze
assicurazione	Feminin	assicurazioni
associazione	Feminin	associazioni
atteggiamento	Maskulin	atteggiamenti
attentato	Maskulin	attentati
attimo	Maskulin	attimi
attività	Feminin	attività
aumento	Maskulin	aumenti
autore	Maskulin	autori
autrice	Feminin	autrici
azienda	Feminin	aziende
azione	Feminin	azioni
base	Feminin	basi
bellezza	Feminin	bellezze
bolletta	Feminin	bollette
bollettino	Maskulin	bollettini
bomba	Feminin	bombe
bonifico	Maskulin	bonifici
brano	Maskulin	brani
bugia	Feminin	bugie
cadavere	Maskulin	cadaveri
cantiere	Maskulin	cantieri
capacità	Feminin	capacità
capitale	Feminin	capitali
carabiniere	Maskulin	carabinieri
carattere	Maskulin	caratteri
carcere	Feminin	carceri
carriera	Feminin	carriere
caso	Maskulin	casi
certificato	Maskulin	certificati
cieco	Maskulin	ciechi
cima	Feminin	cime
cittadinanza	Feminin	cittadinanze
coda	Feminin	code
collaboratore	Maskulin	collaboratori
collaboratrice	Feminin	collaboratrici
collocamento	Maskulin	collocamenti
colpevole	Maskulin	colpevoli
commento	Maskulin	commenti
commercio	Maskulin	commerci
comportamento	Maskulin	comportamenti
concorrenza	Feminin	concorrenze
conclusione	Feminin	conclusioni
condizione	Feminin	condizioni
conferenza	Feminin	conferenze
confronto	Maskulin	confronti
coniuge	Maskulin	coniugi
conseguenza	Feminin	conseguenze
considerazione	Feminin	considerazioni
consonante	Feminin	consonanti
contatto	Maskulin	contatti
contrario	Maskulin	contrari
contratto	Maskulin	contratti
convivente	Maskulin,Feminin	conviventi
coraggio	Maskulin	/
corrente	Feminin	correnti
cortesia	Feminin	cortesie
criminale	Maskulin,Feminin	criminali
crisi	Feminin	crisi
cronaca	Feminin	cronache
cura	Feminin	cure
danno	Maskulin	danni
dato	Maskulin	dati
debito	Maskulin	debiti
decisione	Feminin	decisioni
delusione	Feminin	delusioni
democrazia	Feminin	democrazie
denuncia	Feminin	denunce
deserto	Maskulin	deserti
desiderio	Maskulin	desideri
destinatario	Maskulin	destinatari
diavolo	Maskulin	diavoli
difetto	Maskulin	difetti
differenza	Feminin	differenze
difficoltà	Feminin	difficoltà
Dio	Maskulin	/,dèi
dipendente	Maskulin,Feminin	dipendenti
dipendenza	Feminin	dipendenze
dirigente	Maskulin,Feminin	dirigenti
discorso	Maskulin	discorsi
discussione	Feminin	discussioni
distanza	Feminin	distanze
divieto	Maskulin	divieti
dottorato	Maskulin	dottorati
droga	Feminin	droghe
dubbio	Maskulin	dubbi
educazione	Feminin	educazioni
elezione	Feminin	elezioni
epoca	Feminin	epoche
esercito	Maskulin	eserciti
espressione	Feminin	espressioni
evidenza	Feminin	evidenze
fastidio	Maskulin	fastidi
fatica	Feminin	fatiche
fede	Feminin	fedi
fiducia	Feminin	fiducie
figura	Feminin	figure
fila	Feminin	file
folla	Feminin	folle
fondo	Maskulin	fondi
formazione	Feminin	formazioni
fornitore	Maskulin	fornitori
furto	Maskulin	furti
galera	Feminin	galere
galleria	Feminin	gallerie
generazione	Feminin	generazioni
gesto	Maskulin	gesti
ghiacciaio	Maskulin	ghiacciai
giudice	Maskulin,Feminin	giudici
giustizia	Feminin	giustizie
globalizzazione	Feminin	globalizzazioni
governo	Maskulin	governi
