abbandonare	Indicativo	Presente	1s	abbandono
abbandonare	Indicativo	Presente	2s	abbandoni
abbandonare	Indicativo	Presente	3s	abbandona
abbandonare	Indicativo	Presente	1p	abbandoniamo
abbandonare	Indicativo	Presente	2p	abbandonate
abbandonare	Indicativo	Presente	3p	abbandonano
abbandonare	Indicativo	Passato Prossimo	1s	ho abbandonato
abbandonare	Indicativo	Passato Prossimo	2s	hai abbandonato
abbandonare	Indicativo	Passato Prossimo	3s	ha abbandonato
abbandonare	Indicativo	Passato Prossimo	1p	abbiamo abbandonato
abbandonare	Indicativo	Passato Prossimo	2p	avete abbandonato
abbandonare	Indicativo	Passato Prossimo	3p	hanno abbandonato
abbandonare	Indicativo	Imperfetto	1s	abbandonavo
abbandonare	Indicativo	Imperfetto	2s	abbandonavi
abbandonare	Indicativo	Imperfetto	3s	abbandonava
abbandonare	Indicativo	Imperfetto	1p	abbandonavamo
abbandonare	Indicativo	Imperfetto	2p	abbandonavate
abbandonare	Indicativo	Imperfetto	3p	abbandonavano
abbandonare	Indicativo	Trapassato Prossimo	1s	avevo abbandonato
abbandonare	Indicativo	Trapassato Prossimo	2s	avevi abbandonato
abbandonare	Indicativo	Trapassato Prossimo	3s	aveva abbandonato
abbandonare	Indicativo	Trapassato Prossimo	1p	avevamo abbandonato
abbandonare	Indicativo	Trapassato Prossimo	2p	avevate abbandonato
abbandonare	Indicativo	Trapassato Prossimo	3p	avevano abbandonato
abbandonare	Indicativo	Passato Remoto	1s	abbandonai
abbandonare	Indicativo	Passato Remoto	2s	abbandonasti
abbandonare	Indicativo	Passato Remoto	3s	abbandonò
abbandonare	Indicativo	Passato Remoto	1p	abbandonammo
abbandonare	Indicativo	Passato Remoto	2p	abbandonaste
abbandonare	Indicativo	Passato Remoto	3p	abbandonarono
abbandonare	Indicativo	Futuro Semplice	1s	abbandonerò
abbandonare	Indicativo	Futuro Semplice	2s	abbandonerai
abbandonare	Indicativo	Futuro Semplice	3s	abbandonerà
abbandonare	Indicativo	Futuro Semplice	1p	abbandoneremo
abbandonare	Indicativo	Futuro Semplice	2p	abbandonerete
abbandonare	Indicativo	Futuro Semplice	3p	abbandoneranno
abbandonare	Indicativo	Futuro Anteriore	1s	avrò abbandonato
abbandonare	Indicativo	Futuro Anteriore	2s	avrai abbandonato
abbandonare	Indicativo	Futuro Anteriore	3s	avrà abbandonato
abbandonare	Indicativo	Futuro Anteriore	1p	avremo abbandonato
abbandonare	Indicativo	Futuro Anteriore	2p	avrete abbandonato
abbandonare	Indicativo	Futuro Anteriore	3p	avranno abbandonato
abbandonare	Congiuntivo	Presente	1s	abbandoni
abbandonare	Congiuntivo	Presente	2s	abbandoni
abbandonare	Congiuntivo	Presente	3s	abbandoni
abbandonare	Congiuntivo	Presente	1p	abbandoniamo
abbandonare	Congiuntivo	Presente	2p	abbandoniate
abbandonare	Congiuntivo	Presente	3p	abbandonino
abbandonare	Congiuntivo	Passato	1s	abbia abbandonato
abbandonare	Congiuntivo	Passato	2s	abbia abbandonato
abbandonare	Congiuntivo	Passato	3s	abbia abbandonato
abbandonare	Congiuntivo	Passato	1p	abbiamo abbandonato
abbandonare	Congiuntivo	Passato	2p	abbiate abbandonato
abbandonare	Congiuntivo	Passato	3p	abbiano abbandonato
abbandonare	Congiuntivo	Imperfetto	1s	abbandonassi
abbandonare	Congiuntivo	Imperfetto	2s	abbandonassi
abbandonare	Congiuntivo	Imperfetto	3s	abbandonasse
abbandonare	Congiuntivo	Imperfetto	1p	abbandonassimo
abbandonare	Congiuntivo	Imperfetto	2p	abbandonaste
abbandonare	Congiuntivo	Imperfetto	3p	abbandonassero
abbandonare	Congiuntivo	Trapassato	1s	avessi abbandonato
abbandonare	Congiuntivo	Trapassato	2s	avessi abbandonato
abbandonare	Congiuntivo	Trapassato	3s	avesse abbandonato
abbandonare	Congiuntivo	Trapassato	1p	avessimo abbandonato
abbandonare	Congiuntivo	Trapassato	2p	aveste abbandonato
abbandonare	Congiuntivo	Trapassato	3p	avessero abbandonato
abbandonare	Condizionale	Presente	1s	abbandonerei
abbandonare	Condizionale	Presente	2s	abbandoneresti
abbandonare	Condizionale	Presente	3s	abbandonerebbe
abbandonare	Condizionale	Presente	1p	abbandoneremmo
abbandonare	Condizionale	Presente	2p	abbandonereste
abbandonare	Condizionale	Presente	3p	abbandonerebbero
abbandonare	Condizionale	Passato	1s	avrei abbandonato
abbandonare	Condizionale	Passato	2s	avresti abbandonato
abbandonare	Condizionale	Passato	3s	avrebbe abbandonato
abbandonare	Condizionale	Passato	1p	avremmo abbandonato
abbandonare	Condizionale	Passato	2p	avreste abbandonato
abbandonare	Condizionale	Passato	3p	avrebbero abbandonato
abbandonare	Imperativo	Presente	2s	abbandona
abbandonare	Imperativo	Presente	2p	abbandonate
abbandonare	Infinito	Presente	/	abbandonare
abbandonare	Infinito	Passato	/	avere abbandonato
abbandonare	Gerundio	Presente	/	abbandonando
abbandonare	Gerundio	Passato	/	avendo abbandonato
abbassare	Indicativo	Presente	1s	abbasso
abbassare	Indicativo	Presente	2s	abbassi
abbassare	Indicativo	Presente	3s	abbassa
abbassare	Indicativo	Presente	1p	abbassiamo
abbassare	Indicativo	Presente	2p	abbassate
abbassare	Indicativo	Presente	3p	abbassano
abbassare	Indicativo	Passato Prossimo	1s	ho abbassato
abbassare	Indicativo	Passato Prossimo	2s	hai abbassato
abbassare	Indicativo	Passato Prossimo	3s	ha abbassato
abbassare	Indicativo	Passato Prossimo	1p	abbiamo abbassato
abbassare	Indicativo	Passato Prossimo	2p	avete abbassato
abbassare	Indicativo	Passato Prossimo	3p	hanno abbassato
abbassare	Indicativo	Imperfetto	1s	abbassavo
abbassare	Indicativo	Imperfetto	2s	abbassavi
abbassare	Indicativo	Imperfetto	3s	abbassava
abbassare	Indicativo	Imperfetto	1p	abbassavamo
abbassare	Indicativo	Imperfetto	2p	abbassavate
abbassare	Indicativo	Imperfetto	3p	abbassavano
abbassare	Indicativo	Trapassato Prossimo	1s	avevo abbassato
abbassare	Indicativo	Trapassato Prossimo	2s	avevi abbassato
abbassare	Indicativo	Trapassato Prossimo	3s	aveva abbassato
abbassare	Indicativo	Trapassato Prossimo	1p	avevamo abbassato
abbassare	Indicativo	Trapassato Prossimo	2p	avevate abbassato
