a	Präposition
abbastanza	Adverb
abbonamento	Substantiv
abbracciare	Verb
abbraccio	Substantiv
abitante	Substantiv
abitare	Verb
accanto	Adverb
accendere	Verb
accendino	Substantiv
accento	Substantiv
accomodarsi	Verb
accompagnare	Verb
acconto	Substantiv
accordo	Substantiv
aceto	Substantiv
acido	Adjektiv
acqua	Substantiv
acquistare	Verb
addio	Interjektion
addormentarsi	Verb
adesso	Adverb
adulta	Adjektiv
adulta	Substantiv
adulto	Adjektiv
adulto	Substantiv
aereo	Substantiv
aeroplano	Substantiv
aeroporto	Substantiv
affetto	Substantiv
affettuoso	Adjektiv
affittare	Verb
affitto	Substantiv
agenzia	Substantiv
aggiungere	Verb
aggiustare	Verb
aglio	Substantiv
agosto	Substantiv
aiutare	Verb
aiuto	Interjektion
aiuto	Substantiv
alba	Substantiv
albergo	Substantiv
albero	Substantiv
alcuno	Adjektiv
alfabeto	Substantiv
alimentari	Substantiv
allegro	Adjektiv
allergico	Adjektiv
alloggio	Substantiv
allora	Adverb
almeno	Adverb
alto	Adjektiv
altro	Pronomen
altro	Adjektiv
alzarsi	Verb
amare	Verb
amaro	Adjektiv
ambasciata	Substantiv
ambulanza	Substantiv
ambulatorio	Substantiv
amicizia	Substantiv
amica	Substantiv
amico	Substantiv
ammalarsi	Verb
ammobiliato	Adjektiv
amore	Substantiv
analisi	Substantiv
anche	Konjunktion
ancora	Adverb
andare	Verb
anello	Substantiv
angolo	Substantiv
animale	Substantiv
anno	Substantiv
annoiarsi	Verb
annuncio	Substantiv
ansia	Substantiv
ansioso	Adjektiv
anticipo	Substantiv
antico	Adjektiv
antipasto	Substantiv
antipatico	Adjektiv
anziana	Adjektiv
anziana	Substantiv
anziano	Adjektiv
anziano	Substantiv
aperitivo	Substantiv
appartamento	Substantiv
appassionato	Adjektiv
appena	Adverb
appetito	Substantiv
appuntamento	Substantiv
appunto	Substantiv
aprile	Substantiv
aprire	Verb
arancia	Substantiv
arancione	Adjektiv
argento	Substantiv
aria	Substantiv
armadio	Substantiv
arrabbiarsi	Verb
arrivare	Verb
arrivederci	Interjektion
arrivo	Substantiv
arrosto	Substantiv
arte	Substantiv
articolo	Substantiv
ascensore	Substantiv
asciugamano	Substantiv
asciugare	Verb
asciugarsi	Verb
ascoltare	Verb
asilo	Substantiv
aspettare	Verb
aspro	Adjektiv
assegno	Substantiv
assolutamente	Adverb
attendere	Verb
attentamente	Adverb
attento	Adjektiv
attenzione	Substantiv
attesa	Substantiv
attore	Substantiv
attrice	Substantiv
attraversare	Verb
augurio	Substantiv
aula	Substantiv
auto	Substantiv
automobile	Substantiv
autobus	Substantiv
autostrada	Substantiv
autunno	Substantiv
avanti	Adverb
avaro	Adjektiv
avere	Verb
avverbio	Substantiv
azzurro	Adjektiv
baciare	Verb
bacio	Substantiv
baffo	Substantiv
bagaglio	Substantiv
bagnare	Verb
bagnarsi	Verb
bagno	Substantiv
balcone	Substantiv
ballare	Verb
bambina	Substantiv
bambino	Substantiv
bambola	Substantiv
banana	Substantiv
banca	Substantiv
banco	Substantiv
bancomat	Substantiv
banconota	Substantiv
bar	Substantiv
barba	Substantiv
barca	Substantiv
basso	Adjektiv
basta	Interjektion
beh	Interjektion
bello	Adjektiv
