aceto	Maskulin	aceti
acqua	Feminin	acque
aereo	Maskulin	aerei
aeroplano	Maskulin	aeroplani
aeroporto	Maskulin	aeroporti
affetto	Maskulin	affetti
agenzia	Feminin	agenzie
agosto	Maskulin	/
albergo	Maskulin	alberghi
albero	Maskulin	alberi
alfabeto	Maskulin	alfabeti
ambasciata	Feminin	ambasciate
amica	Feminin	amiche
amico	Maskulin	amici
amore	Maskulin	amori
animale	Maskulin	animali
anno	Maskulin	anni
appartamento	Maskulin	appartamenti
appuntamento	Maskulin	appuntamenti
aprile	Maskulin	/
arte	Feminin	arti
attenzione	Feminin	attenzioni
augurio	Maskulin	auguri
autobus	Maskulin	autobus
autunno	Maskulin	autunni
bacio	Maskulin	baci
bagno	Maskulin	bagni
bambina	Feminin	bambine
bambino	Maskulin	bambini
banca	Feminin	banche
bar	Maskulin	bar
bicchiere	Maskulin	bicchieri
bici	Feminin	bici
bicicletta	Feminin	biciclette
biglietto	Maskulin	biglietti
birra	Feminin	birre
borsa	Feminin	borse
bottiglia	Feminin	bottiglie
busta	Feminin	buste
caffè	Maskulin	caffè
calza	Feminin	calze
camera	Feminin	camere
cameriera	Feminin	cameriere
cameriere	Maskulin	camerieri
camicia	Feminin	camicie
campagna	Feminin	campagne
cane	Maskulin	cani
canzone	Feminin	canzoni
capello	Maskulin	capelli
cappotto	Maskulin	cappotti
cappuccino	Maskulin	cappuccini
carne	Feminin	carni
carta	Feminin	carte
cartolina	Feminin	cartoline
casa	Feminin	case
cd	Maskulin	cd
cellulare	Maskulin	cellulari
cena	Feminin	cene
centro	Maskulin	centri
check-in	Maskulin	check-in
chiave	Feminin	chiavi
chiesa	Feminin	chiese
cibo	Maskulin	cibi
cinema	Maskulin	cinema
città	Feminin	città
classe	Feminin	classi
cognome	Maskulin	cognomi
colazione	Feminin	colazioni
colore	Maskulin	colori
coltello	Maskulin	coltelli
compagna	Feminin	compagne
compagno	Maskulin	compagni
compleanno	Maskulin	compleanni
computer	Maskulin	computer
consolato	Maskulin	consolati
conto	Maskulin	conti
corso	Maskulin	corsi
cosa	Feminin	cose
credito	Maskulin	crediti
cucchiaio	Maskulin	cucchiai
cucina	Feminin	cucine
data	Feminin	date
destra	Feminin	destre
dicembre	Maskulin	/
doccia	Feminin	docce
documento	Maskulin	documenti
domanda	Feminin	domande
domenica	Feminin	domeniche
donna	Feminin	donne
dottore	Maskulin	dottori
dottoressa	Feminin	dottoresse
e-mail	Feminin	e-mail
esercizio	Maskulin	esercizi
estate	Feminin	estati
estero	Maskulin	esteri
euro	Maskulin	/
fabbrica	Feminin	fabbriche
fame	Feminin	/
famiglia	Feminin	famiglie
farmacia	Feminin	farmacie
favore	Maskulin	favori
fax	Maskulin	fax
febbraio	Maskulin	/
femmina	Feminin	femmine
fermata	Feminin	fermate
festa	Feminin	feste
figlia	Feminin	figlie
figlio	Maskulin	figli
film	Maskulin	film
finestra	Feminin	finestre
fiore	Maskulin	fiori
forchetta	Feminin	forchette
fotografia	Feminin	fotografie
francobollo	Maskulin	francobolli
fratello	Maskulin	fratelli
frutta	Feminin	frutta
gatto	Maskulin	gatti
gennaio	Maskulin	/
giacca	Feminin	giacche
giardino	Maskulin	giardini
giornale	Maskulin	giornali
giornata	Feminin	giornate
giorno	Maskulin	giorni
giovedì	Maskulin	giovedì
giugno	Maskulin	/
gonna	Feminin	gonne
hobby	Maskulin	hobby
hotel	Maskulin	hotel
indirizzo	Maskulin	indirizzi
industria	Feminin	industrie
informazione	Feminin	informazioni
insegnante	Maskulin,Feminin	insegnanti
internet	Feminin	/
inverno	Maskulin	inverni
italiano	Maskulin	italiani
lago	Maskulin	laghi
latte	Maskulin	latti
lavoro	Maskulin	lavori
lettera	Feminin	lettere
letto	Maskulin	letti
lezione	Feminin	lezioni
libro	Maskulin	libri
lingua	Feminin	lingue
luglio	Maskulin	/
lunedì	Maskulin	lunedì
macchina	Feminin	macchine
madre	Feminin	madri
maggio	Maskulin	/
maglietta	Feminin	magliette
maglione	Maskulin	maglioni
mamma	Feminin	mamme
mare	Maskulin	mari
marito	Maskulin	mariti
martedì	Maskulin	martedì
marzo	Maskulin	/
maschio	Maskulin	maschi
matita	Feminin	matite
mattina	Feminin	mattine
medicina	Feminin	medicine
menù	Maskulin	menù
mercato	Maskulin	mercati
mercoledì	Maskulin	mercoledì
mese	Maskulin	mesi
metà	Feminin	metà
mezzanotte	Feminin	mezzanotti
mezzogiorno	Maskulin	mezzogiorni
minuto	Maskulin	minuti
moglie	Feminin	mogli
momento	Maskulin	momenti
montagna	Feminin	montagne
moto	Feminin	moto
motocicletta	Feminin	motociclette
museo	Maskulin	musei
musica	Feminin	musiche
Natale	Maskulin	Natali
nazionalità	Feminin	nazionalità
nazione	Feminin	nazioni
negozio	Maskulin	negozi
nome	Maskulin	nomi
nonna	Feminin	nonne
nonno	Maskulin	nonni
notte	Feminin	notti
novembre	Maskulin	/
numero	Maskulin	numeri
occhiale	Maskulin	occhiali
olio	Maskulin	oli
ombrello	Maskulin	ombrelli
ora	Feminin	ore
orologio	Maskulin	orologi
ospedale	Maskulin	ospedali
ottobre	Maskulin	/
pacco	Maskulin	pacchi
padre	Maskulin	padri
pane	Maskulin	pani
pantalone	Maskulin	pantaloni
papà	Maskulin	papà
parcheggio	Maskulin	parcheggi
parco	Maskulin	parchi
parola	Feminin	parole
Pasqua	Feminin	Pasque
passaporto	Maskulin	passaporti
pasta	Feminin	paste
penna	Feminin	penne
pepe	Maskulin	pepi
pesce	Maskulin	pesci
piacere	Maskulin	piaceri
piano	Maskulin	piani
pianta	Feminin	piante
piatto	Maskulin	piatti
piazza	Feminin	piazze
pizza	Feminin	pizze
pizzeria	Feminin	pizzerie
polizia	Feminin	polizie
pomeriggio	Maskulin	pomeriggi
pomodoro	Maskulin	pomodori
porta	Feminin	porte
posta	Feminin	poste
posto	Maskulin	posti
pranzo	Maskulin	pranzi
prezzo	Maskulin	prezzi
primavera	Feminin	primavere
professore	Maskulin	professori
professoressa	Feminin	professoresse
quaderno	Maskulin	quaderni
quadro	Maskulin	quadri
quarto	Maskulin	quarti
radio	Feminin	radio
ragazza	Feminin	ragazze
ragazzo	Maskulin	ragazzi
riso	Maskulin	risi
risposta	Feminin	risposte
ristorante	Maskulin	ristoranti
sabato	Maskulin	sabati
sale	Maskulin	sali
saluto	Maskulin	saluti
scarpa	Feminin	scarpe
scuola	Feminin	scuole
secondo	Maskulin	secondi
sedia	Feminin	sedie
segreteria	Feminin	segreterie
sera	Feminin	sere
sete	Feminin	/
settembre	Maskulin	/
settimana	Feminin	settimane
sigaretta	Feminin	sigarette
signora	Feminin	signore
signore	Maskulin	signori
sinistra	Feminin	sinistre
soggiorno	Maskulin	soggiorni
soldo	Maskulin	soldi
sole	Maskulin	soli
sonno	Maskulin	sonni
sorella	Feminin	sorelle
spaghetto	Maskulin	spaghetti
spesa	Feminin	spese
spiaggia	Feminin	spiagge
sport	Maskulin	sport
stazione	Feminin	stazioni
stop	Maskulin	stop
strada	Feminin	strade
studente	Maskulin	studenti
studentessa	Feminin	studentesse
supermercato	Maskulin	supermercati
tavolo	Maskulin	tavoli
taxi	Maskulin	taxi
tè	Maskulin	tè
teatro	Maskulin	teatri
telefono	Maskulin	telefoni
televisione	Feminin	televisioni
treno	Maskulin	treni
turista	Maskulin,Feminin	turisti,turiste
tv	Feminin	tv
ufficio	Maskulin	uffici
università	Feminin	università
uomo	Maskulin	uomini
uovo	Maskulin	uova(F)
vacanza	Feminin	vacanze
valigia	Feminin	valigie
venerdì	Maskulin	venerdì
verdura	Feminin	verdure
vestito	Maskulin	vestiti
via	Feminin	vie
viaggio	Maskulin	viaggi
vino	Maskulin	vini
visto	Maskulin	visti
zaino	Maskulin	zaini
zucchero	Maskulin	zuccheri
abbonamento	Maskulin	abbonamenti
abbraccio	Maskulin	abbracci
accendino	Maskulin	accendini
accordo	Maskulin	accordi
adulta	Feminin	adulte
adulto	Maskulin	adulti
affitto	Maskulin	affitti
aiuto	Maskulin	aiuti
alimentari	Maskulin	alimentari
anello	Maskulin	anelli
anticipo	Maskulin	anticipi
antipasto	Maskulin	antipasti
anziana	Feminin	anziane
anziano	Maskulin	anziani
aperitivo	Maskulin	aperitivi
appetito	Maskulin	appetiti
arancia	Feminin	arance
argento	Maskulin	argenti
aria	Feminin	arie
armadio	Maskulin	armadi
arrivo	Maskulin	arrivi
arrosto	Maskulin	arrosti
articolo	Maskulin	articoli
ascensore	Maskulin	ascensori
asciugamano	Maskulin	asciugamani
aula	Feminin	aule
auto	Feminin	auto
automobile	Feminin	automobili
autostrada	Feminin	autostrade
baffo	Maskulin	baffi
balcone	Maskulin	balconi
bambola	Feminin	bambole
banana	Feminin	banane
banco	Maskulin	banchi
barba	Feminin	barbe
barca	Feminin	barche
benzina	Feminin	benzine
bibita	Feminin	bibite
biblioteca	Feminin	biblioteche
biglietteria	Feminin	biglietterie
bisogno	Maskulin	bisogni
bistecca	Feminin	bistecche
bocca	Feminin	bocche
bosco	Maskulin	boschi
braccio	Maskulin	bracci(M),braccia(F)
buio	Maskulin	bui
burro	Maskulin	burri
calcio	Maskulin	calci
caldo	Maskulin	caldi
campeggio	Maskulin	campeggi
camper	Maskulin	camper
cantina	Feminin	cantine
capo	Maskulin	capi
cappello	Maskulin	cappelli
carota	Feminin	carote
casalinga	Feminin	casalinghe
casalingo	Maskulin	casalinghi
cassa	Feminin	casse
cavallo	Maskulin	cavalli
centimetro	Maskulin	centimetri
chilo	Maskulin	chili
chilometro	Maskulin	chilometri
cielo	Maskulin	cieli
cioccolato	Maskulin	cioccolati
cognata	Feminin	cognate
cognato	Maskulin	cognati
collana	Feminin	collane
collega	Maskulin,Feminin	colleghi,colleghe
collina	Feminin	colline
commessa	Feminin	commesse
commesso	Maskulin	commessi
comodino	Maskulin	comodini
compito	Maskulin	compiti
complimento	Maskulin	complimenti
concerto	Maskulin	concerti
confine	Maskulin	confini
congratulazione	Feminin	congratulazioni
contorno	Maskulin	contorni
conversazione	Feminin	conversazioni
coperta	Feminin	coperte
coppia	Feminin	coppie
corpo	Maskulin	corpi
costo	Maskulin	costi
cotone	Maskulin	cotoni
crema	Feminin	creme
crociera	Feminin	crociere
cugina	Feminin	cugine
cugino	Maskulin	cugini
cultura	Feminin	culture
cuscino	Maskulin	cuscini
dente	Maskulin	denti
dentifricio	Maskulin	dentifrici
dettato	Maskulin	dettati
dialogo	Maskulin	dialoghi
dipinto	Maskulin	dipinti
direttore	Maskulin	direttori
direttrice	Feminin	direttrici
discoteca	Feminin	discoteche
distributore	Maskulin	distributori
dito	Maskulin	dita(F)
ditta	Feminin	ditte
divano	Maskulin	divani
divertimento	Maskulin	divertimenti
dizionario	Maskulin	dizionari
dogana	Feminin	dogane
dolce	Maskulin	dolci
economia	Feminin	economie
entrata	Feminin	entrate
erba	Feminin	erbe
errore	Maskulin	errori
esame	Maskulin	esami
esempio	Maskulin	esempi
est	Maskulin	/
età	Feminin	età
etto	Maskulin	etti
faccia	Feminin	facce
facoltà	Feminin	facoltà
fattoria	Feminin	fattorie
febbre	Feminin	febbri
ferro	Maskulin	ferri
fetta	Feminin	fette
fiammifero	Maskulin	fiammiferi
fidanzata	Feminin	fidanzate
fidanzato	Maskulin	fidanzati
fine	Feminin	fini
firma	Feminin	firme
fiume	Maskulin	fiumi
foglio	Maskulin	fogli
formaggio	Maskulin	formaggi
fornello	Maskulin	fornelli
forno	Maskulin	forni
fortuna	Feminin	fortune
frase	Feminin	frasi
freddo	Maskulin	freddi
freezer	Maskulin	freezer
frigorifero	Maskulin	frigoriferi
fronte	Feminin	fronti
fulmine	Maskulin	fulmini
fuoco	Maskulin	fuochi
gamba	Feminin	gambe
garage	Maskulin	garage
gas	Maskulin	gas
